Unnamed: 0,d
0,1.883880474614423
1,1.8822649161683824
2,1.880221133908243
3,1.8802812648343885
4,1.8854281583894972
5,1.8829329731263151
6,1.8777984617283607
7,1.879336079518926
8,1.8784913695231389
9,1.8790544131262017
10,1.878391000589456
11,1.8772518759165544
12,1.875575480584132
13,1.874612762689802
14,1.8728538163367383
15,1.870480818036588
16,1.871169840434749
17,1.8714914936139837
18,1.8712017979722175
19,1.870499369760684
20,1.8711705563406624
21,1.8702875328947668
22,1.8688911206032457
23,1.8708674465196773
24,1.8723130727432775
25,1.8705295047093824
26,1.869203883549776
27,1.866493072978896
28,1.866482437496432
29,1.8660456497382296
30,1.8618115234074075
31,1.8585164554884908
32,1.855737786197456
33,1.8616973765518927
34,1.8588616401622515
35,1.8567500726034083
36,1.8540262392557008
37,1.8523183102557592
38,1.8545089263305004
39,1.85469944758694
40,1.852512728159858
41,1.8530290559835287
42,1.8509626115721296
43,1.848821081383249
44,1.8457913914575512
45,1.8421076587677767
46,1.841200840544911
47,1.8422769803014976
48,1.8404317029072557
49,1.8379296831308385
50,1.834333533364405
51,1.8338778468968284
52,1.8332530878420656
53,1.8322100860735928
54,1.832688666474851
55,1.83135127446668
56,1.829220112768965
57,1.8264419751315664
58,1.8251726440203624
59,1.8273206740876933
60,1.824403842208344
61,1.8238406846603623
62,1.8228873621243245
63,1.8218764922933128
64,1.820968056920443
65,1.8228319957186092
66,1.8221842265156685
67,1.8199587854652024
68,1.8195226222319876
69,1.8172154189277592
70,1.812716973084884
71,1.811336082634215
72,1.8109284322627917
73,1.8122907063721585
74,1.812122752787636
75,1.8123656729019533
76,1.811032038089679
77,1.809748401445709
78,1.807452301020128
79,1.8061877726049969
80,1.8050017973225936
81,1.806859987847444
82,1.8076582259237512
83,1.805226311014016
84,1.803556569032069
85,1.800784899474322
86,1.8002350490655563
87,1.7984447249259337
88,1.7962070325639086
89,1.798794281636479
90,1.798460560758298
91,1.7955010046010609
92,1.793326165819812
93,1.7942755379203656
94,1.79087691161158
95,1.7894060738710704
96,1.788080049597046
97,1.7867218226471095
98,1.7885564562978575
99,1.7835749391988844
100,1.7830949407110055
101,1.783320431125389
102,1.7831287791935844
103,1.7818393370920789
104,1.7825730108115443
105,1.7785595865174073
106,1.7794977166188737
107,1.7781857043991856
108,1.776902260117208
109,1.774998013587615
110,1.7773877890680208
111,1.7769903632080026
112,1.770383256223249
113,1.7695590308721767
114,1.769235087412268
115,1.7659114115611751
116,1.7672087482273473
117,1.7677068465102497
118,1.7684856455688875
